id;nombre;nombre_original;slug_peliculas;descripcion;region;Author;calificacion;descargas;idiomas;fecha_estreno;fecha_subida;trailer;disco;reparto;online;img1;img2;img3;img4;img5;enlacegd;enlacegd2;enlacegd3;enlacegd4;enlacegd5;enlacemg;enlacemg2;enlacemg3;enlacemg4;enlacemg5;comparte;director;enlacesub;anio;enlace_publi
128;Dante's Inferno: An Animated Epic;Dante's Inferno: An Animated Epic;dantes-inferno-an-animated-epic;"¡Limbo, lujuria, gula, codicia, ira, herejía, violencia, estafa y traición! Éstos son los nueve circuitos del infierno que Dante Alighieri lanzó a la fama en su obra maestra El Infierno, la primera parte de La Divina Comedia. '"Dante´s Inferno'" te llevará a un viaje angustioso por el infierno, en el que Dante se enfrentará a las Fuerzas del Mal, matando a demonios y monstruos de una imaginación extraordinaria para salvar a su amada Beariz de las garras de Lucifer, el amo del infierno. Basada en el videojuego del mismo nombre, es una precuela, como '"Dead Space: Downfall'".";Estados Unidos;joiz;5;6;Español Latino;2010-02-09;2020-04-26;WvCMXy6jrJ0;2.9 GB;Animacion;1pIes9YkLTHAkRhBFXuLM1gkmPVa5-1H9;Pelicula-Dante_s_Inferno-online-megafly_AGXKvRu.jpg;Pelicula-Dante_s_Inferno-online-megafly2_m68K1QQ.jpg;Pelicula-Dante_s_Inferno-online-megafly3_80xKSv5.jpg;Pelicula-Dante_s_Inferno-online-megafly4_O46eTip.jpg;"";https://drive.google.com/uc?id=1pIes9YkLTHAkRhBFXuLM1gkmPVa5-1H9&export=download;;;;;;;;;;;Victor Cook, Shuko Murase, Jong-Sik Nam, Lee Scunggyu, Kim Sangjin, Yasuomi Umetsu, Mike Disa;;2010;https://fc.lc/MW1lzWG
1;Dilwale Dulhania Le Jayenge;Dilwale Dulhania Le Jayenge (El valiente de corazón se llevará a la novia);dilwale-dulhania-le-jayenge;Dilwale Dulhania Le Jayenge, una historia que muestra la travesía por Europa de la joven Simran, un viaje junto a sus amigas que constituye su último deseo a cambio de aceptar el matrimonio arreglado que su padre acordó con su mejor amigo hace años para ella.   Sin embargo ella no sospecha que será en ese viaje que conocerá el amor, de la mano de Raj, un desinhibido muchacho, también de ascendencia india, que sin embargo lleva su vida en Londres de la forma más occidental posible.;India;joiz;5;1;Español Subtitulado;1995-10-19;2020-04-02;c25GKl5VNeY;880MB;hah Rukh Khan, Kajol, Amrish Puri, Farida Jalal;0B3V89dXqKqIOcEhRZl91ajZJSGc;dilwale-dulhania-le-jayenge-megafly.jpg;dilwale-dulhania-le-jayenge-2.jpg;dilwale-dulhania-le-jayenge_megafly-3.jpg;dilwale-dulhania-le-jayenge-hindu-film-4.jpg;dilwale-dulhania-le-jayenge-hindu-film-4.jpg;https://drive.google.com/uc?id=0B3V89dXqKqIOcEhRZl91ajZJSGc&export=download;;;;;;;;;;dilware;Aditya Chopra;https://drive.google.com/file/d/0B0kGGqoe9-L3bkZZSHBmNXdnOVU/view;1995;https://fc.lc/jDRG
2;Rapidos Y furiosos 5;Fast Five;rapidos-y-furiosos-5;"Después de haber capturado al narcotraficante mexicano, Arturo Braga, el autobús policial que lleva a los convictos, incluyendo a Dominic '"Dom'" Toretto, a la prisión de máxima seguridad de Lompoc,  Brian O''Conner junto a Mía Toretto, , Tego Leo  y Rico Santos se disponen a rescatar a Dom.";Estados Unidos;joiz;1;1;Español Latino;2011-05-05;2020-04-02;yvx_gmQoJJc;5.7GB;Vin Diesel, Paul Walker, Dwayne Johnson, Tyrese Gibson y Jordana Brewster;1JIjhPgcSwHLMO--shkSgjkff7mOoeJrw;rapidos-furioso-5-megafly.png;rapidos-furioso-5-megafly2.jpg;rapidos-furioso-5-megafly3.jpg;rapidos-furioso-5-megafly4.jpg;"";https://drive.google.com/uc?id=1JIjhPgcSwHLMO--shkSgjkff7mOoeJrw&export=download;;;;;;;;;;rapidos y furioso;Justin Lin;;2011;https://fc.lc/MhWu
3;Avengers: Endgame;Avengers: Endgame;avengers-endgame;.Después de los eventos devastadores de 'Avengers: Infinity War', el universo está en ruinas debido a las acciones de Thanos, el Titán Loco. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles son las consecuencias.;Estados Unidos;Joliz;1;1;Español Latino;2019-04-22;2020-04-02;TcMBFSGVi1c;4.8GB;Robert Downey Jr, Chris Evans;1op7vHHGOw2_n7GU5u9kp6wfb2G7BE6vX;avenger-end-game-megafly.jpg;avenger-end-game-megafly2.jpg;avenger-end-game-megafly3.jpg;avenger-end-game-megafly4.jpg;descarga_LV99Vaz.jpeg;https://drive.google.com/file/d/1NBAiItNPjGHYndz4yiRxlimghnXg1fmJ/view;https://drive.google.com/file/d/178R1G2YIAJEeDRNaSdDe1d5WUsqU5808/view;https://drive.google.com/file/d/1op7vHHGOw2_n7GU5u9kp6wfb2G7BE6vX/view;;;;;;;;Hh;Joe Russo y Anthony Russo;;2019;https://fc.lc/1zspO
4;Bad Boys por siempre (2020);Bad Boys for life;bad-boys-por-siempre-2020;El Departamento de Policía de Miami y su equipo de élite AMMO intentan derribar a Armando Armas, jefe de un cartel de la droga. Armando es un asesino de sangre fría con una naturaleza viciosa y contaminante. Él está comprometido con el trabajo del cartel y es enviado por su madre Isabel, para matar a Mike.;Estados Unidos;joiz;1;1;Español Latino;2020-01-07;2020-04-03;Amzj7xll3Aw;4.5GB;Will Smith, Martin Lawrence, Jacob Scipio, Paola Núñez, Joe Pantoliano, Vanessa Hudgens, Alexander Ludwig;1Q3LKTmvYE0J8WuoV1MewPiIOsixB8d0_;bad-boys-forever-megafly.jpg;bad-boys-forever-megafly2.jpg;bad-boys-forever-megafly3.jpg;bad-boys-forever-megafly4.jpg;download_CDjESNt.jpg;https://drive.google.com/uc?id=1Q3LKTmvYE0J8WuoV1MewPiIOsixB8d0_&export=download;;;;;;;;;;dilware;Bilall Fallah y Adil El Arbi;;2020;https://fc.lc/un2qZ
5;El Banquero (2020);The Banker;el-banquero-2020;Esta película nos traslada a los recordados años 60. L. Jackson y Mackie interpretan a Joe Morris y Bernard Garett, dos empresarios de origen afroamericano que deciden contratar a un hombre blanco de clase baja para que finja ser el jefe de su empresa, Matt Steiner. Todo ello debido al tremendo rechazo que producía en aquella época ver a dos negros dirigiendo una empresa, pese a que esta fuera de éxito.  Morris y Garett diseñan un arriesgado plan con el que pretenden enfrentarse al racismo que impregna a todos los sectores de la sociedad norteamericana de los años 60. Para ello tratan de ayudar a otros afroamericanos a conseguir el famoso sueño americano. Mientras tanto Steiner finge ser el que está detrás del éxito de una entidad inmobiliaria y financiera, como el gran rostro afortunado. En esta empresa, por cierto, Morris y Garett se muestran de cara al público como el chofer y el conserje.;Estados Unidos;joiz;1;1;Español Latino;2020-03-06;2020-04-03;PEHFdWFn41g;2.3GB;Bernard Garett, Joe Morris, Matt Steiner, Eunice Garett.;1zrBZmcSgmIsBOgf95g0iedDpuxtSb2Yh;El-banquero-megafly.jpg;El-banquero-megafly2.jpg;El-banquero-megafly3.jpg;El-banquero-megafly4.jpg;"";https://drive.google.com/uc?id=1zrBZmcSgmIsBOgf95g0iedDpuxtSb2Yh&export=download;;;;;;;;;;dilware;George Nolfi.;;2020;https://fc.lc/rVR9nS
6;Vivir dos veces;Vivir dos veces;vivir-dos-veces;Emilio (Oscar Martínez), su hija Julia (Inma Cuesta) y su nieta Blanca (Mafalda Carbonell) emprenden un viaje disparatado y a la vez revelador. Antes de que a Emilio le falle la memoria definitivamente, la familia le ayudará a buscar al amor de su juventud. En el camino encontrarán la oportunidad de una vida nueva y sin trampas. Decisiones discutibles y contratiempos los llevará a enfrentarse a los engaños sobre los que han montado sus vidas. ¿Será posible vivir dos veces?;España;joiz;1;1;Español Castellano;2019-09-06;2020-04-03;ss-A1PFLTKI;4.0 GB;Oscar Martínez, Inma Cuesta, Mafalda Carbonell, Nacho López, Aina Clotet, Isabel Requena, Antonio Valero, María Zamora, Hugo Balaguer, Valeria Schoneveld, Lucas Cavataio, Amparo Oltra, Mamen García, Manu Valls, Silvia Valero, Ferran Gadea, Jordi Aguilar, Jordi Tamarit, Nieves Soria, Hugo Sáez Contreras, Gustavo Ferrada, Alex Franco, Daniel González, María Ripoll, Antonio Ruz;1GysxJINWe6lsC9Z_FWaLi-Y6gtRrvA5T;vivir-dos-veces-megafly.jpg;vivir-dos-veces-megafly2.jpg;vivir-dos-veces-megafly3.jpg;vivir-dos-veces-megafly4.jpg;"";https://drive.google.com/file/d/1LMoWtmvE4hbSGgq1cCUKRpqJp52oD-1T/view;https://drive.google.com/file/d/1GysxJINWe6lsC9Z_FWaLi-Y6gtRrvA5T/view;;;;;;;;;dilware;María Ripoll;;2019;https://fc.lc/gXZ8jeo
7;Jexi un celular sin filtro;Jexi un celular sin filtro;jexi-un-celular-sin-filtro;Phil, un hombre inteligente y amable, aunque sin amigos ni pareja, es adicto al teléfono celular. Su nuevo teléfono incorpora una inteligencia artificial, llamada Jexi, que se convierte en su asistente virtual y confesora. No obstante, Jexi empieza a comportarse, poco a poco, cada vez de manera más perturbadora.;Estados Unidos;joiz;1;1;Español Latino;2019-10-17;2020-04-03;pvvMa7Ik-TQ;3,4 GB;Adam DeVine, Alexandra Shipp, Michael Peña, Rose Byrne, Justin Hartley, Ron Funches, Charlyne Yi, Wanda Sykes, Diana Jackson, Aaron Wilton;1ItDs627hZkGmnJJbfyAN_nl0WPqHzH1b;jexy-un-celular-sin-filtro.jpg;jexy-un-celular-sin-filtro2.jpg;jexy-un-celular-sin-filtro3.jpg;jexy-un-celular-sin-filtro4.jpg;"";https://drive.google.com/uc?id=1ItDs627hZkGmnJJbfyAN_nl0WPqHzH1b&export=download;;;;;;;;;;;Jon Lucas, Scott Moore;;2019;https://fc.lc/V1vG1K3x
8;Onward;Onward;onward;Ambientado en un mundo de fantasía suburbana, dos hermanos elfos adolescentes, Ian y Barley Lightfood, se embarcan en una aventura en la que se proponen descubrir si existe aún algo de magia en el mundo que les permita pasar un último día con su padre, que falleció cuando ellos eran aún muy pequeños como para poder recordarlo.;Estados Unidos;joiz;1;1;Español Latino;2020-02-29;2020-04-03;TE0_PKfYxS4;3.7GB;Tom Holland, Christopher Michael Pratt, Julia Elizabeth Scarlett Louis-Dreyfus,  Octavia Lenora;1Uw8TY-QjqLYuBe4wx0ScY3qagl7y0Kes;onward-megafly.jpg;onward-megafly2.jpg;onward-megafly3.jpg;onward-megafly4.jpg;"";https://drive.google.com/uc?id=1oqLBj_UrD4RhOee_YSa6-19uSUq2fOoE&export=download;https://drive.google.com/uc?id=1Uw8TY-QjqLYuBe4wx0ScY3qagl7y0Kes&fbclid=IwAR1lvQV6mwLjp2GL_KxgG_HW3iMsmOD7PdhCB0MI16FBHB5lM2StJxhCkQE;;;;;;;;;;Dan Scanlo;;2020;https://fc.lc/kRrU
9;Rápidos y furiosos: Hobbs & Shaw;Fast & Furious Presents: Hobbs & Shaw;rapidos-y-furiosos-hobbs-shaw;"Spin-off de la franquicia cinematográfica '"A todo gas'", que sigue al policía estadounidense Hobbs y al mercenario británico Shaw. En el pasado, Hobbs encarceló a Shaw después de que este intentara matarlo. Ahora deben aliarse para combatir al terrorista Brixton, que tiene una fuerza sobrenatural.";Estados Unidos;joiz;1;1;Español Latino;2019-07-13;2020-04-03;7gu-YZAu3i0;4.8 GB;Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Eiza González, Eddie Marsan, Helen Mirren;13Th32NzuzWwY0yDloMHZoaC83oEEWGid;rapidos-furiosos-hobbs-shaw-megafly.jpg;rapidos-furiosos-hobbs-shaw-megafly2.jpg;rapidos-furiosos-hobbs-shaw-megafly3.jpg;rapidos-furiosos-hobbs-shaw-megafly4.jpg;"";https://drive.google.com/uc?id=13Th32NzuzWwY0yDloMHZoaC83oEEWGid&export=download;;;;;;;;;;;David Leitch;;2019;https://fc.lc/zAAy891
10;Aves de presa;Birds of Prey;aves-de-presa;Después de separarse de Joker, Harley Quinn y otras tres heroínas, Canario Negro, Cazadora y Renée Montoya, unen sus fuerzas para salvar a una niña del malvado rey del crimen Máscara Negra.;Estados Unidos;joiz;1;1;Español Latino;2020-01-29;2020-04-03;cqYOShqq4zY;4.0 GB;Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell Rosie Perez, Ella Jay Basco, Christopher Messina,  Ewan Gordon McGregor, Charlene Amoia;1nsqlR710ylPN8HEYXPCHVGibZXQTNolC;harley-quinn-aves-de-presa.jpg;harley-quinn-aves-de-presa2.jpg;harley-quinn-aves-de-presa3.jpg;harley-quinn-aves-de-presa4.jpg;"";https://drive.google.com/file/d/15NF0MKZKOzI2xmYuRJXppod64QVCse55/view;https://drive.google.com/file/d/1nsqlR710ylPN8HEYXPCHVGibZXQTNolC/view;https://drive.google.com/file/d/1vI0Wi7w1_-aXeJfZjxF1c5CkECtpHCG_/view;;;;;;;;;Cathy Yan;;2020;https://fc.lc/jjh3uwuS
11;Bloodshot;Bloodshot;bloodshot;Ray Garrison (Vin Diesel) es un soldado caído en combate. Lejos de aceptar su pérdida, la corporación Rising Spirit Technologies (RST) utiliza la nanotecnología para convertirle en una máquina de matar biotecnológica y sobrehumana llamada Bloodshot, capaz de aumentar su fuerza, sus reflejos y su capacidad de cicatrización. De este modo, Garrison adquiere poderes especiales que le hacen prácticamente indestructible. La organización controla su cuerpo y su mente y Ray no sabe qué es real y qué es producto de su imaginación. Pero cuando Garrison empieza a recordar quién era antes y que en una vida anterior tuvo una esposa, decidirá encontrar la verdad cueste lo que cuesta y caiga quien caiga. Esta película basada en el personaje de Valiant Comics supone el debut en la dirección de Dave Wilson, supervisor creativo de Vengadores: La era de Ultrón (2015);Estados Unidos;joiz;1;1;Español Latino;2020-02-20;2020-04-03;zOeEPSR2OSM;4.0 GB;Vin Diesel, Sam Heughan, Guy Pearce, Eiza González, Talulah Riley, Álex Hernández, Toby Kebbell, Lamorne Morris, Jóhannes Haukur Jóhannesson;1AmLdimcBwqrNelz23wzqpGs2oi5CW2Nf;bloodshot-megafly.jpg;bloodshot-megafly2.jpg;bloodshot-megafly3.jpg;bloodshot-megafly4.jpg;"";https://drive.google.com/u/0/uc?id=1AmLdimcBwqrNelz23wzqpGs2oi5CW2Nf&export=download;https://drive.google.com/file/d/1hxL3ffbNhARHcBM2p-vlpxyozhF6OdEg/view;https://drive.google.com/file/d/1AZyteAbwZptiNXJAi7Efv1HzWSMnxQvt/view;;;;;;;;;David S. F. Wilson;;2020;https://fc.lc/23cB2
